#R-- (on the right)				Name		MW		Linked atom on the right -->												Linked atom on the left <--												Linked atom on the left with marked position for 3Mer <--
c1c2ncncc2ccc1					Ring2_142_4	130.1466	[c;X3;R1]1[c;X3;R2]2[n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1		[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R2]4[c;X3;R1]3		[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R2]6[c;X3;R1]5(y)
c1c2cncnc2ccc1					Ring2_142_5	130.1466	[c;X3;R1]1[c;X3;R2]2[c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1		[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)][c;X3;R2]4[c;X3;R1]3		[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1][c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R1;!$(c=O)](y)[c;X3;R2]6[c;X3;R1]5(y)
c12cncnc2cccc1					Ring2_142_6	130.1466	[c;X3;R2]12[c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1		[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1;!$(c=O)][c;X3;R2]34		[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1][c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R1;!$(c=O)](y)[c;X3;R2]56
c1(=O)nc2c(n1)cccc2				Ring2_155_1	132.1195	[c;X3;R1]1(=O)[n;R1][c;X3;R2]2[c;X3;R2]([n;R1]1)[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]2					[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]([n;R1]3)[c;X3;R2]4[n;R1][c;X3;R1]3(=O)					[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]([n;R1]5(y))[c;X3;R2]6[n;R1](y)[c;X3;R1]5(=O)
c1c2nc(=O)nc2ccc1				Ring2_155_2	132.1195	[c;X3;R1]1[c;X3;R2]2[n;R1][c;X3;R1](=O)[n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1](=O)[n;R1][c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1](y)[c;X3;R1](=O)[n;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c1(=O)nc2ccccc2n1				Ring2_155_3	132.1195	[c;X3;R1]1(=O)[n;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[n;R1]1					[n;R1]3[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[n;R1][c;X3;R1]3(=O)					[n;R1]5[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[n;R1](y)[c;X3;R1]5(=O)	
C1CCc2c(C1)cccc2				Ring2_166_1	132.2023	[C;X4;R1]1[C;X4;R1][C;X4;R1][c;X3;R2]2[c;X3;R2]([C;X4;R1]1)[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]2			[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]([C;X4;R1]3)[c;X3;R2]4[C;X4;R1][C;X4;R1][C;X4;R1]3			[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]([C;X4;R1]5(y))[c;X3;R2]6[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
c1c2CCCCc2ccc1					Ring2_166_2	132.2023	[c;X3;R1]1[c;X3;R2]2[C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1][c;X3;R2]4[c;X3;R1]3				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c12ccccc2CCCC1					Ring2_166_3	132.2023	[c;X3;R2]12[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[C;X4;R1][C;X4;R1][C;X4;R1][C;X4;R1]1				[C;X4;R1]3[C;X4;R1][C;X4;R1][C;X4;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]34				[C;X4;R1]5[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
C1c2ccccc2CCC1					Ring2_166_4	132.2023	[C;X4;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[C;X4;R1][C;X4;R1][C;X4;R1]1				[C;X4;R1]3[C;X4;R1][C;X4;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1]3				[C;X4;R1]5[C;X4;R1](y)[C;X4;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1]5(y)
N1C(=O)Cc2c1cccc2				Ring2_172_1	133.1473	[N;R1]1[C;X3;R1](=O)[C;X4;R1][c;X3;R2]2[c;X3;R2]1[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]2					[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]3[c;X3;R2]4[C;X4;R1][C;X3;R1](=O)[N;R1]3					[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]5[c;X3;R2]6[C;X4;R1](y)[C;X3;R1](=O)[N;R1]5(y)
c1c2CC(=O)Nc2ccc1				Ring2_172_2	133.1473	[c;X3;R1]1[c;X3;R2]2[C;X4;R1][C;X3;R1](=O)[N;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[N;R1][C;X3;R1](=O)[C;X4;R1][c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[N;R1](y)[C;X3;R1](=O)[C;X4;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c1c2NC(=O)Cc2ccc1				Ring2_172_3	133.1473	[c;X3;R1]1[c;X3;R2]2[N;R1][C;X3;R1](=O)[C;X4;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1][C;X3;R1](=O)[N;R1][c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1](y)[C;X3;R1](=O)[N;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c12NC(=O)Cc2cccc1				Ring2_172_4	133.1473	[c;X3;R2]12[N;R1][C;X3;R1](=O)[C;X4;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1][C;X3;R1](=O)[N;R1][c;X3;R2]34					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1](y)[C;X3;R1](=O)[N;R1](y)[c;X3;R2]56
c1cccc2c1CC(=O)N2				Ring2_172_5	133.1473	[c;X3;R1]1[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[c;X3;R2]1[C;X4;R1][C;X3;R1](=O)[N;R1]2					[N;R1]4[C;X3;R1](=O)[C;X4;R1][c;X3;R2]3[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]3					[N;R1]6[C;X3;R1](=O)[C;X4;R1](y)[c;X3;R2]5[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1]5(y)
c12ccccc2NC(=O)C1				Ring2_172_6	133.1473	[c;X3;R2]12[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[N;R1][C;X3;R1](=O)[C;X4;R1]1					[C;X4;R1]3[C;X3;R1](=O)[N;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]34					[C;X4;R1]5[C;X3;R1](=O)[N;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
C1(=O)NCc2c1cccc2				Ring2_173_1	133.1473	[C;X3;R1]1(=O)[N;R1][C;X4;R1][c;X3;R2]2[c;X3;R2]1[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]2					[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]3[c;X3;R2]4[C;X4;R1][N;R1][C;X3;R1]3(=O)					[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]5[c;X3;R2]6[C;X4;R1](y)[N;R1](y)[C;X3;R1]5(=O)
c1c2CNC(=O)c2ccc1				Ring2_173_2	133.1473	[c;X3;R1]1[c;X3;R2]2[C;X4;R1][N;R1][C;X3;R1](=O)[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[C;X3;R1](=O)[N;R1][C;X4;R1][c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X3;R1](=O)[N;R1](y)[C;X4;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c1c2C(=O)NCc2ccc1				Ring2_173_3	133.1473	[c;X3;R1]1[c;X3;R2]2[C;X3;R1](=O)[N;R1][C;X4;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1][N;R1][C;X3;R1](=O)[c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[c;X3;R2]6[c;X3;R1]5(y)
c12C(=O)NCc2cccc1				Ring2_173_4	133.1473	[c;X3;R2]12[C;X3;R1](=O)[N;R1][C;X4;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1][N;R1][C;X3;R1](=O)[c;X3;R2]34					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1](y)[N;R1](y)[C;X3;R1](=O)[c;X3;R2]56
C1(=O)c2ccccc2CN1				Ring2_173_5	133.1473	[C;X3;R1]1(=O)[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[C;X4;R1][N;R1]1					[N;R1]3[C;X4;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[C;X3;R1]3(=O)					[N;R1]5[C;X4;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X3;R1]5(=O)
c12ccccc2C(=O)NC1				Ring2_173_6	133.1473	[c;X3;R2]12[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[C;X3;R1](=O)[N;R1][C;X4;R1]1					[C;X4;R1]3[N;R1][C;X3;R1](=O)[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]34					[C;X4;R1]5[N;R1](y)[C;X3;R1](=O)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
N1CCc2c(C1)cccc2				Ring2_177_1	133.1903	[N;R1]1[C;X4;R1][C;X4;R1][c;X3;R2]2[c;X3;R2]([C;X4;R1]1)[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]2				[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]([C;X4;R1]3)[c;X3;R2]4[C;X4;R1][C;X4;R1][N;R1]3				[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]([C;X4;R1]5(y))[c;X3;R2]6[C;X4;R1](y)[C;X4;R1](y)[N;R1]5(y)
c1c2CCNCc2ccc1					Ring2_177_2	133.1903	[c;X3;R1]1[c;X3;R2]2[C;X4;R1][C;X4;R1][N;R1][C;X4;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1][N;R1][C;X4;R1][C;X4;R1][c;X3;R2]4[c;X3;R1]3				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1](y)[N;R1](y)[C;X4;R1](y)[C;X4;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c1c2CNCCc2ccc1					Ring2_177_3	133.1903	[c;X3;R1]1[c;X3;R2]2[C;X4;R1][N;R1][C;X4;R1][C;X4;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1][C;X4;R1][N;R1][C;X4;R1][c;X3;R2]4[c;X3;R1]3				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X4;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c12CNCCc2cccc1					Ring2_177_4	133.1903	[c;X3;R2]12[C;X4;R1][N;R1][C;X4;R1][C;X4;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1][C;X4;R1][N;R1][C;X4;R1][c;X3;R2]34				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1](y)[C;X4;R1](y)[N;R1](y)[C;X4;R1](y)[c;X3;R2]56
c12ccccc2CCNC1					Ring2_177_5	133.1903	[c;X3;R2]12[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[C;X4;R1][C;X4;R1][N;R1][C;X4;R1]1				[C;X4;R1]3[N;R1][C;X4;R1][C;X4;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]34				[C;X4;R1]5[N;R1](y)[C;X4;R1](y)[C;X4;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
C1c2ccccc2CCN1					Ring2_177_6	133.1903	[C;X4;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[C;X4;R1][C;X4;R1][N;R1]1				[N;R1]3[C;X4;R1][C;X4;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1]3				[N;R1]5[C;X4;R1](y)[C;X4;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1]5(y)
N1Cc2ccccc2CC1					Ring2_177_7	133.1903	[N;R1]1[C;X4;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[C;X4;R1][C;X4;R1]1				[C;X4;R1]3[C;X4;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1][N;R1]3				[C;X4;R1]5[C;X4;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1](y)[N;R1]5(y)
c12ccccc2CNCC1					Ring2_177_8	133.1903	[c;X3;R2]12[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[C;X4;R1][N;R1][C;X4;R1][C;X4;R1]1				[C;X4;R1]3[C;X4;R1][N;R1][C;X4;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]34				[C;X4;R1]5[C;X4;R1](y)[N;R1](y)[C;X4;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
c1nc2ncnc(=O)c2n1				Ring2_180_1	134.0956	[c;X3;R1]1[n;R1][c;X3;R2]2[n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1](=O)[c;X3;R2]2[n;R1]1					[n;R1]3[c;X3;R2]4[c;X3;R1](=O)[n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R2]4[n;R1][c;X3;R1]3					[n;R1]5[c;X3;R2]6[c;X3;R1](=O)[n;R1](y)[c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R2]6[n;R1][c;X3;R1]5(y)	
n1c2c(=O)ncnc2nc1				Ring2_180_2	134.0956	[n;R1]1[c;X3;R2]2[c;X3;R1](=O)[n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R2]2[n;R1][c;X3;R1]1					[c;X3;R1]3[n;R1][c;X3;R2]4[n;R1][c;X3;R1;!$(c=O)][n;R1][c;X3;R1](=O)[c;X3;R2]4[n;R1]3					[c;X3;R1]5[n;R1][c;X3;R2]6[n;R1][c;X3;R1;!$(c=O)](y)[n;R1](y)[c;X3;R1](=O)[c;X3;R2]6[n;R1]5(y)
c1(=o)c2ncnc2ncn1				Ring2_180_3	134.0956	[c;X3;R1]1(=O)[c;X3;R2]2[n;R1][c;X3;R1][n;R1][c;X3;R2]2[n;R1][c;X3;R1;!$(c=O)][n;R1]1					[n;R1]3[c;X3;R1;!$(c=O)][n;R1][c;X3;R2]4[n;R1][c;X3;R1][n;R1][c;X3;R2]4[c;X3;R1]3(=O)					[n;R1]5[c;X3;R1;!$(c=O)](y)[n;R1][c;X3;R2]6[n;R1][c;X3;R1](y)[n;R1](y)[c;X3;R2]6[c;X3;R1]5(=O)
n1c(=O)c2ncnc2nc1				Ring2_180_4	134.0956	[n;R1]1[c;X3;R1](=O)[c;X3;R2]2[n;R1][c;X3;R1][n;R1][c;X3;R2]2[n;R1][c;X3;R1;!$(c=O)]1					[c;X3;R1;!$(c=O)]3[n;R1][c;X3;R2]4[n;R1][c;X3;R1][n;R1][c;X3;R2]4[c;X3;R1](=O)[n;R1]3					[c;X3;R1;!$(c=O)]5[n;R1][c;X3;R2]6[n;R1][c;X3;R1](y)[n;R1](y)[c;X3;R2]6[c;X3;R1](=O)[n;R1]5(y)
C1(=O)OCc2c1cccc2				Ring2_184_1	134.1320	[C;X3;R1]1(=O)[O;R1][C;X4;R1][c;X3;R2]2[c;X3;R2]1[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]2					[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]3[c;X3;R2]4[C;X4;R1][O;R1][C;X3;R1]3(=O)					[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]5[c;X3;R2]6[C;X4;R1](y)[O;R1][C;X3;R1]5(=O)
c1c2COC(=O)c2ccc1				Ring2_184_2	134.1320	[c;X3;R1]1[c;X3;R2]2[C;X4;R1][O;R1][C;X3;R1](=O)[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[C;X3;R1](=O)[O;R1][C;X4;R1][c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X3;R1](=O)[O;R1][C;X4;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c1c2C(=O)OCc2ccc1				Ring2_184_3	134.1320	[c;X3;R1]1[c;X3;R2]2[C;X3;R1](=O)[O;R1][C;X4;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1][O;R1][C;X3;R1](=O)[c;X3;R2]4[c;X3;R1]3					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1](y)[O;R1][C;X3;R1](=O)[c;X3;R2]6[c;X3;R1]5(y)
c12C(=O)OCc2cccc1				Ring2_184_4	134.1320	[c;X3;R2]12[C;X3;R1](=O)[O;R1][C;X4;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1					[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1][O;R1][C;X3;R1](=O)[c;X3;R2]34					[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1](y)[O;R1][C;X3;R1](=O)[c;X3;R2]56
c12ccccc2C(=O)OC1				Ring2_184_5	134.1320	[c;X3;R2]12[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[C;X3;R1](=O)[O;R1][C;X4;R1]1					[C;X4;R1]3[O;R1][C;X3;R1](=O)[c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]34					[C;X4;R1]5[O;R1][C;X3;R1](=O)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
C1CCc2c(O1)cccc2				Ring2_186_1	134.1751	[C;X4;R1]1[C;X4;R1][C;X4;R1][c;X3;R2]2[c;X3;R2]([O;R1]1)[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]2				[c;X3;R1]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]([O;R1]3)[c;X3;R2]4[C;X4;R1][C;X4;R1][C;X4;R1]3				[c;X3;R1]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]([O;R1]5)[c;X3;R2]6[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1]5(y)
c1c2CCCOc2ccc1					Ring2_186_2	134.1751	[c;X3;R1]1[c;X3;R2]2[C;X4;R1][C;X4;R1][C;X4;R1][O;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[O;R1][C;X4;R1][C;X4;R1][C;X4;R1][c;X3;R2]4[c;X3;R1]3				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[O;R1][C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[c;X3;R2]6[c;X3;R1]5(y)
c1c2OCCCc2ccc1					Ring2_186_3	134.1751	[c;X3;R1]1[c;X3;R2]2[O;R1][C;X4;R1][C;X4;R1][C;X4;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1][C;X4;R1][C;X4;R1][O;R1][c;X3;R2]4[c;X3;R1]3				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[O;R1][c;X3;R2]6[c;X3;R1]5(y)
c12OCCCc2cccc1					Ring2_186_4	134.1751	[c;X3;R2]12[O;R1][C;X4;R1][C;X4;R1][C;X4;R1][c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1]1				[c;X3;R1]3[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1][C;X4;R1][C;X4;R1][O;R1][c;X3;R2]34				[c;X3;R1]5[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1](y)[C;X4;R1](y)[C;X4;R1](y)[O;R1][c;X3;R2]56
c12ccccc2OCCC1					Ring2_186_5	134.1751	[c;X3;R2]12[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[O;R1][C;X4;R1][C;X4;R1][C;X4;R1]1				[C;X4;R1]3[C;X4;R1][C;X4;R1][O;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]34				[C;X4;R1]5[C;X4;R1](y)[C;X4;R1](y)[O;R1][c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]56
C1c2ccccc2OCC1					Ring2_186_6	134.1751	[C;X4;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[O;R1][C;X4;R1][C;X4;R1]1				[C;X4;R1]3[C;X4;R1][O;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[C;X4;R1]3				[C;X4;R1]5[C;X4;R1](y)[O;R1][c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[C;X4;R1]5(y)
O1c2ccccc2CCC1					Ring2_186_7	134.1751	[O;R1]1[c;X3;R2]2[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]2[C;X4;R1][C;X4;R1][C;X4;R1]1				[C;X4;R1]3[C;X4;R1][C;X4;R1][c;X3;R2]4[c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R1][c;X3;R2]4[O;R1]3				[C;X4;R1]5[C;X4;R1](y)[C;X4;R1](y)[c;X3;R2]6[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R1](y)[c;X3;R2]6[O;R1]5
